Age_Band,Income_Band,Marital_Status,Country,avg_wines,avg_fruits,avg_meat,avg_fish,avg_sweets,avg_gold,avg_total_spend,response_rate_pct
18-29,High,Absurd,Australia,0.0,0.0,751.0,8.0,17.0,44.0,820.0,0.0
18-29,High,Absurd,Canada,336.5,0.0,352.0,145.0,0.5,24.5,858.5,50.0
18-29,High,Absurd,Germany,235.5,72.0,109.0,60.5,63.0,81.0,621.0,50.0
18-29,High,Absurd,India,382.75,31.0,520.75,89.25,12.25,70.25,1106.25,75.0
18-29,High,Absurd,Mexico,216.0,1.5,550.0,131.5,16.5,15.0,930.5,50.0
18-29,High,Absurd,Saudi Arabia,138.25,2.0,112.5,104.25,38.25,42.0,437.25,25.0
18-29,High,Absurd,Spain,298.29,16.43,260.86,93.14,57.86,85.14,811.71,42.86
18-29,High,Absurd,USA,208.5,13.0,537.75,46.0,28.25,44.5,878.0,0.0
18-29,High,Alone,Australia,422.5,3.0,40.0,30.5,2.0,123.0,621.0,50.0
18-29,High,Alone,Canada,126.0,0.67,106.33,15.33,85.0,90.33,423.67,33.33
18-29,High,Alone,Germany,17.0,18.0,195.0,12.0,0.0,9.0,251.0,0.0
18-29,High,Alone,Saudi Arabia,38.0,2.5,130.75,87.25,2.5,33.5,294.5,50.0
18-29,High,Alone,Spain,151.67,18.75,401.17,86.0,46.58,57.25,761.42,33.33
18-29,High,Alone,USA,200.0,32.0,151.0,259.0,216.0,123.0,981.0,0.0
18-29,High,Divorced,Australia,234.55,27.55,425.45,31.82,61.0,68.64,849.0,18.18
18-29,High,Divorced,Canada,201.48,15.34,220.14,56.38,21.62,46.9,561.86,6.9
18-29,High,Divorced,Germany,294.0,13.0,521.77,83.23,44.38,25.77,982.15,23.08
18-29,High,Divorced,India,292.47,27.6,231.73,46.47,35.73,53.1,687.1,20.0
18-29,High,Divorced,Mexico,241.5,82.5,645.0,21.5,11.0,50.0,1051.5,50.0
18-29,High,Divorced,Saudi Arabia,233.0,13.97,153.16,78.19,14.87,25.55,518.74,9.68
18-29,High,Divorced,Spain,273.88,24.98,458.07,76.02,24.98,53.85,911.78,19.51
18-29,High,Divorced,USA,250.86,18.95,287.62,44.95,21.57,29.1,653.05,28.57
18-29,High,Married,Australia,338.85,18.58,424.0,71.82,41.36,41.12,935.73,24.24
18-29,High,Married,Canada,226.58,22.02,310.22,77.33,27.58,44.36,708.09,24.44
